Ligand,BestMode,minimizedAffinity (kcal/mol),CNNscore,CNNaffinity,CNN_VS
OH_docked_random_indole_OH_9.sdf,9,-8.46328,0.3497188389,7.9817156792,2.7913563251
Combined groups_docked_random_indole_combined_CN14_SO2CH311_CH313_52.sdf,5,-8.43741,0.6625342369,8.5767135620,5.6823663712
Combined groups_docked_random_indole_combined_CN17_CN13_CN11_26.sdf,6,-8.43533,0.4858056903,8.5876626968,4.1719355583
Combined groups_docked_random_indole_combined_NH217_53.sdf,1,-8.38811,0.8026228547,7.9390888214,6.3720941544
SO2CH3_docked_random_indole_SO2CH3_1.sdf,9,-8.38363,0.4177011549,8.1358394623,3.3983495235
Combined groups_docked_random_indole_combined_OH17_SO2CH315_75.sdf,8,-8.35822,0.4495976865,8.3905429840,3.7723686695
Combined groups_docked_random_indole_combined_CH2OH17_OH15_50.sdf,6,-8.35778,0.5767487288,7.7582902908,4.4745841026
CN_docked_random_indole_CN_4.sdf,5,-8.2964,0.3918237090,8.3362646103,3.2663462162
Combined groups_docked_random_indole_combined_OCH317_15.sdf,3,-8.19231,0.6019207835,7.6546020508,4.6074638367
CH2OH_docked_random_indole_CH2OH_9.sdf,1,-8.13017,0.8349384069,7.8461141586,6.5510220528
Combined groups_docked_random_indole_combined_CN15_2.sdf,9,-8.10311,0.4606634974,8.2469263077,3.7990579605
OCH3_docked_random_indole_OCH3_10.sdf,3,-8.08366,0.7649132609,8.5253086090,6.5211215019
CN_docked_random_indole_CN_3.sdf,4,-7.7781,0.6571624875,8.4929924011,5.5812759399
